Dataset,Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,T(α=0.5)
Taiwan,RF,SMOTETomek,Owen-Data-Myerson,0.7747646589566243,0.4839591409590597,0.5160408590409403,1.0,0.8399245401977531,0.7853217997462311,9.699642435256955,0.7532119942783264
Taiwan,RF,SMOTETomek,Owen-Model-Myerson,0.7747646589566243,0.3758143502157554,0.6241856497842446,0.07705627705627706,0.8169632687139489,0.5060683985181569,3.0667314620997757,0.521054061915565
Taiwan,RF,CostSensitive,SHAP,0.7782128879130595,0.5924304617463482,0.40756953825365183,0.8580086580086581,0.9660100172643292,0.743862737842213,,0.7866831408978912
Taiwan,RF,CostSensitive,Banzhaf,0.7782128879130595,0.3397184914202914,0.6602815085797086,0.361038961038961,0.596242025279066,0.5391874982992452,,0.6165259280969632
Taiwan,RF,CostSensitive,Myerson,0.7782128879130595,0.5518945732236558,0.44810542677634424,0.14805194805194805,0.6837204156869802,0.42662593017175743,,0.522947619632083
Taiwan,RF,CostSensitive,Owen-Domain,0.7782128879130595,0.4446411262556125,0.5553588737443875,1.0,0.8688391289885821,0.8080660009109899,2.602353628822106,0.8400586655627317
Taiwan,RF,CostSensitive,Owen-Data,0.7782128879130595,0.5103205814300871,0.4896794185699129,1.0,0.8412417081712702,0.7769737089137276,9.699642435256955,0.8142100198855096
Taiwan,RF,CostSensitive,Owen-Model,0.7782128879130595,0.3492891642258152,0.6507108357741849,0.07705627705627706,0.8950006793728789,0.5409225974011136,2.709431202611608,0.6179684065705029
Taiwan,RF,CostSensitive,Owen-Domain-Myerson,0.7782128879130595,0.42805506368998436,0.5719449363100156,1.0,0.9350135223475077,0.8356528195525078,2.602353628822106,0.862993028217282
Taiwan,RF,CostSensitive,Owen-Data-Myerson,0.7782128879130595,0.540653612008326,0.45934638799167404,1.0,0.8443472816558509,0.7678978898825083,9.699642435256955,0.8066648176730372
Taiwan,RF,CostSensitive,Owen-Model-Myerson,0.7782128879130595,0.37238943996071244,0.6276105600392876,0.14805194805194805,0.8960726442198895,0.557245050770375,2.709431202611608,0.6315381142576098
Taiwan,XGB,None,SHAP,0.7616580956529466,0.5832778811454773,0.4167221188545227,0.7160173160173159,0.9155588150024414,0.6827660799026489,,0.40972191312524997
Taiwan,XGB,None,Banzhaf,0.7616580956529466,0.3315320306153106,0.6684679693846893,0.43203463203463205,0.577196441069438,0.5592330141629198,,0.3070224258694243
Taiwan,XGB,None,Myerson,0.7616580956529466,0.5853998033847851,0.41460019661521486,0.07705627705627706,0.5564156522664273,0.3493573753126397,,0.13254184960958434
Taiwan,XGB,None,Owen-Domain,0.7616580956529466,0.433027667663324,0.566972332336676,1.0,0.9683156722569582,0.8450960015312113,2.602353628822106,0.5446752522794499
Taiwan,XGB,None,Owen-Data,0.7616580956529466,0.6157082759333381,0.3842917240666619,0.8580086580086581,0.7135971641827936,0.6519658487527045,9.699642435256955,0.3841160728790065
Taiwan,XGB,None,Owen-Model,0.7616580956529466,0.46732458652320624,0.5326754134767937,0.006060606060606062,0.8541502126685095,0.4642954107353031,1.9852087130462228,0.2280958394131677
Taiwan,XGB,None,Owen-Domain-Myerson,0.7616580956529466,0.3829691794644051,0.6170308205355949,1.0,0.9650814749601934,0.8607040984985961,2.602353628822106,0.5576510781928685
Taiwan,XGB,None,Owen-Data-Myerson,0.7616580956529466,0.6341251542648114,0.3658748457351886,0.8580086580086581,0.6530703904922468,0.6256512980786978,9.699642435256955,0.3622394130114226
Taiwan,XGB,None,Owen-Model-Myerson,0.7616580956529466,0.5267802907370791,0.4732197092629209,0.07705627705627706,0.8727323382417916,0.4743361081869965,1.9852087130462228,0.2364431954332341
Taiwan,XGB,SMOTE,SHAP,0.7567419915896637,0.5553664565086365,0.4446335434913635,0.7160173160173161,0.9363386034965515,0.6989964842796326,,0.32635627055675753
Taiwan,XGB,SMOTE,Banzhaf,0.7567419915896637,0.3434860704932815,0.6565139295067185,0.29004329004329005,0.6892022701489849,0.5452531632329978,,0.19854142077586015
Taiwan,XGB,SMOTE,Myerson,0.7567419915896637,0.5696800071250053,0.4303199928749947,0.36103896103896105,0.7823218616585761,0.5245602718575106,,0.1813383397920166
Taiwan,XGB,SMOTE,Owen-Domain,0.7567419915896637,0.26774509485024794,0.732254905149752,0.29004329004329005,0.9801560514614366,0.6674847488848262,2.602353628822106,0.3001589196838643
